Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
4_pec,12/11/2025,5:46:14 PM,19.5, ,mg,20,mL,Hg 253.7,12/11/2025,5:48:05 PM,0.038936138,3.353808641,0.001305844,0.553000859,0.567180368,0.553,0.567,3.393103131,0.018763889,0.019245015,ug/L,ug/g,1,12/11/2025,5:47:04 PM,2,12/11/2025,5:47:34 PM,3,12/11/2025,5:48:05 PM
44_lung,12/11/2025,5:48:47 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,5:50:38 PM,0.025028941,1.920636317,0.000480715,0.353165973,0.354940676,0.353,0.355,1.955872225,0.006907475,0.006942186,ug/L,ug/g,1,12/11/2025,5:49:38 PM,2,12/11/2025,5:50:08 PM,3,12/11/2025,5:50:38 PM
43_lung,12/11/2025,5:51:21 PM,20.6, ,mg,20,mL,Hg 253.7,12/11/2025,5:53:12 PM,0.066741405,2.34724661,0.001566585,0.952539488,0.92479562,0.953,0.925,2.363212566,0.022510533,0.021854886,ug/L,ug/g,1,12/11/2025,5:52:11 PM,2,12/11/2025,5:52:41 PM,3,12/11/2025,5:53:12 PM
52_gas,12/11/2025,5:54:54 PM,19.8, ,mg,20,mL,Hg 253.7,12/11/2025,5:56:44 PM,0.062579711,4.831427755,0.003023494,0.892739403,0.901756973,0.893,0.902,4.866492443,0.043445096,0.043883935,ug/L,ug/g,1,12/11/2025,5:55:44 PM,2,12/11/2025,5:56:14 PM,3,12/11/2025,5:56:44 PM
18_gas,12/11/2025,5:57:27 PM,20.2, ,mg,20,mL,Hg 253.7,12/11/2025,5:59:17 PM,0.033455451,2.731037086,0.000913681,0.47424793,0.469552406,0.474,0.47,2.768348468,0.013128835,0.012998847,ug/L,ug/g,1,12/11/2025,5:58:16 PM,2,12/11/2025,5:58:47 PM,3,12/11/2025,5:59:17 PM
3_gi,12/11/2025,5:59:59 PM,20.3, ,mg,20,mL,Hg 253.7,12/11/2025,6:01:50 PM,0.019315744,6.608131012,0.00127641,0.271072066,0.267066075,0.271,0.267,6.766078622,0.018340949,0.018069901,ug/L,ug/g,1,12/11/2025,6:00:49 PM,2,12/11/2025,6:01:20 PM,3,12/11/2025,6:01:50 PM
13_gi,12/11/2025,6:02:32 PM,20.4, ,mg,20,mL,Hg 253.7,12/11/2025,6:04:22 PM,0.040677585,2.293968268,0.000933131,0.578024014,0.56669021,0.578,0.567,2.319681739,0.013408318,0.013145409,ug/L,ug/g,1,12/11/2025,6:03:22 PM,2,12/11/2025,6:03:52 PM,3,12/11/2025,6:04:22 PM
55_brain,12/11/2025,6:05:05 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,6:06:55 PM,0.046530369,3.428664354,0.00159537,0.662123659,0.658829511,0.662,0.659,3.462215321,0.022924147,0.022810096,ug/L,ug/g,1,12/11/2025,6:05:55 PM,2,12/11/2025,6:06:25 PM,3,12/11/2025,6:06:55 PM
11_brain,12/11/2025,6:07:38 PM,19.7, ,mg,20,mL,Hg 253.7,12/11/2025,6:09:29 PM,0.047005715,3.254806774,0.001529945,0.668953984,0.6791411,0.669,0.679,3.28633127,0.021984044,0.022318826,ug/L,ug/g,1,12/11/2025,6:08:29 PM,2,12/11/2025,6:08:59 PM,3,12/11/2025,6:09:29 PM
QAQC,12/11/2025,6:10:12 PM, , ,g, ,mL,Hg 253.7,12/11/2025,6:12:03 PM,0.066549604,1.691894829,0.001125949,0.961891091, ,0.962, ,1.68199481,0.016178958, ,ug/L,ug/g,1,12/11/2025,6:11:03 PM,2,12/11/2025,6:11:33 PM,3,12/11/2025,6:12:03 PM
Standard blank,12/11/2025,6:12:46 PM, , ,g, ,mL,Hg 253.7,12/11/2025,6:14:36 PM,0.000727825,44.74560353,0.00032567,0.016086685, ,0.016, ,29.0899081,0.004679602, ,ug/L,ug/g,1,12/11/2025,6:13:35 PM,2,12/11/2025,6:14:06 PM,3,12/11/2025,6:14:36 PM
47_liver,12/11/2025,6:15:17 PM,20.6, ,mg,20,mL,Hg 253.7,12/11/2025,6:17:07 PM,0.090696072,2.04730708,0.001856827,1.296748203,1.258978838,1.297,1.259,2.057536394,0.026681066,0.025903948,ug/L,ug/g,1,12/11/2025,6:16:07 PM,2,12/11/2025,6:16:37 PM,3,12/11/2025,6:17:07 PM
51_liver,12/11/2025,6:17:50 PM,20, ,mg,20,mL,Hg 253.7,12/11/2025,6:19:40 PM,0.057635352,1.778582367,0.001025092,0.821693063,0.821693063,0.822,0.822,1.792606743,0.014729725,0.014729725,ug/L,ug/g,1,12/11/2025,6:18:40 PM,2,12/11/2025,6:19:10 PM,3,12/11/2025,6:19:40 PM
1_gas,12/11/2025,6:20:23 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,6:22:14 PM,0.022226473,1.389029288,0.000308732,0.312896825,0.311340124,0.313,0.311,1.417791974,0.004436226,0.004414155,ug/L,ug/g,1,12/11/2025,6:21:13 PM,2,12/11/2025,6:21:43 PM,3,12/11/2025,6:22:14 PM
37_gi,12/11/2025,6:22:57 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,6:24:48 PM,0.012544646,0.565903724,7.099062125e-005,0.173777003,0.174650254,0.174,0.175,0.587003091,0.001020076,0.001025202,ug/L,ug/g,1,12/11/2025,6:23:48 PM,2,12/11/2025,6:24:18 PM,3,12/11/2025,6:24:48 PM
46_pec,12/11/2025,6:25:31 PM,20.8, ,mg,20,mL,Hg 253.7,12/11/2025,6:27:22 PM,0.036037216,5.610102405,0.002021725,0.51134575,0.491678606,0.511,0.492,5.681186971,0.029050508,0.027933181,ug/L,ug/g,1,12/11/2025,6:26:21 PM,2,12/11/2025,6:26:51 PM,3,12/11/2025,6:27:22 PM
tuna_1,12/11/2025,6:28:05 PM,20.9, ,mg,20,mL,Hg 253.7,12/11/2025,6:29:56 PM,0.207096483,0.828470264,0.001715733,2.969325604,2.841459909,2.969,2.841,0.830278014,0.024653658,0.023592017,ug/L,ug/g,1,12/11/2025,6:28:55 PM,2,12/11/2025,6:29:26 PM,3,12/11/2025,6:29:56 PM
31_pec,12/11/2025,6:30:39 PM,20.6, ,mg,20,mL,Hg 253.7,12/11/2025,6:32:31 PM,0.021885824,5.331828712,0.001166915,0.308001975,0.299031044,0.308,0.299,5.443989711,0.016767596,0.016279219,ug/L,ug/g,1,12/11/2025,6:31:30 PM,2,12/11/2025,6:32:01 PM,3,12/11/2025,6:32:31 PM
40_lung,12/11/2025,6:33:14 PM,20.3, ,mg,20,mL,Hg 253.7,12/11/2025,6:35:05 PM,0.028028928,4.535980763,0.001271387,0.396273288,0.390417033,0.396,0.39,4.61014518,0.018268774,0.017998792,ug/L,ug/g,1,12/11/2025,6:34:04 PM,2,12/11/2025,6:34:35 PM,3,12/11/2025,6:35:05 PM
28_lung,12/11/2025,6:35:47 PM,20.2, ,mg,20,mL,Hg 253.7,12/11/2025,6:37:38 PM,0.028988063,3.467734603,0.001005229,0.410055269,0.405995315,0.41,0.406,3.522527295,0.014444309,0.014301296,ug/L,ug/g,1,12/11/2025,6:36:38 PM,2,12/11/2025,6:37:08 PM,3,12/11/2025,6:37:38 PM
33_lung,12/11/2025,6:38:22 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,6:40:13 PM,0.030163888,3.569194285,0.001076608,0.426950899,0.424826765,0.427,0.425,3.623358374,0.015469961,0.015392996,ug/L,ug/g,1,12/11/2025,6:39:12 PM,2,12/11/2025,6:39:43 PM,3,12/11/2025,6:40:13 PM
QAQC,12/11/2025,6:40:56 PM, , ,g, ,mL,Hg 253.7,12/11/2025,6:42:48 PM,0.065612141,2.975014562,0.001951971,0.948420516, ,0.948, ,2.957359197,0.028048201, ,ug/L,ug/g,1,12/11/2025,6:41:47 PM,2,12/11/2025,6:42:17 PM,3,12/11/2025,6:42:48 PM
Standard blank,12/11/2025,6:43:31 PM, , ,g, ,mL,Hg 253.7,12/11/2025,6:45:21 PM,0.000583344,60.30862193,0.000351807,0.014010616, ,0.014, ,36.08100369,0.005055171, ,ug/L,ug/g,1,12/11/2025,6:44:20 PM,2,12/11/2025,6:44:51 PM,3,12/11/2025,6:45:21 PM
5_gas,12/11/2025,6:46:03 PM,20, ,mg,20,mL,Hg 253.7,12/11/2025,6:47:54 PM,0.02987333,3.643332018,0.001088385,0.422775824,0.422775824,0.423,0.423,3.699167181,0.015639185,0.015639185,ug/L,ug/g,1,12/11/2025,6:46:54 PM,2,12/11/2025,6:47:24 PM,3,12/11/2025,6:47:54 PM
12_gas,12/11/2025,6:48:37 PM,19.7, ,mg,20,mL,Hg 253.7,12/11/2025,6:50:28 PM,0.023352667,0.930242437,0.000217236,0.329079292,0.334090652,0.329,0.334,0.948557768,0.003121507,0.003169043,ug/L,ug/g,1,12/11/2025,6:49:27 PM,2,12/11/2025,6:49:58 PM,3,12/11/2025,6:50:28 PM
38_gi,12/11/2025,6:51:11 PM,20.5, ,mg,20,mL,Hg 253.7,12/11/2025,6:53:02 PM,0.05596732,1.538633732,0.000861132,0.797724817,0.778268114,0.798,0.778,1.551130604,0.012373754,0.012071955,ug/L,ug/g,1,12/11/2025,6:52:02 PM,2,12/11/2025,6:52:32 PM,3,12/11/2025,6:53:02 PM
35_gi,12/11/2025,6:53:45 PM,19.7, ,mg,20,mL,Hg 253.7,12/11/2025,6:55:36 PM,0.02386649,2.354731154,0.000561992,0.336462502,0.341586297,0.336,0.342,2.400075573,0.008075354,0.008198329,ug/L,ug/g,1,12/11/2025,6:54:36 PM,2,12/11/2025,6:55:06 PM,3,12/11/2025,6:55:36 PM
16_brain,12/11/2025,6:56:20 PM,20.4, ,mg,20,mL,Hg 253.7,12/11/2025,6:58:11 PM,0.025534044,3.894949045,0.000994538,0.360423878,0.353356744,0.36,0.353,3.964966675,0.014290687,0.014010477,ug/L,ug/g,1,12/11/2025,6:57:11 PM,2,12/11/2025,6:57:41 PM,3,12/11/2025,6:58:11 PM
19_brain,12/11/2025,6:58:55 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,7:00:47 PM,0.034566982,2.578708134,0.000891382,0.490219702,0.487780798,0.49,0.488,2.612790568,0.012808414,0.012744691,ug/L,ug/g,1,12/11/2025,6:59:46 PM,2,12/11/2025,7:00:17 PM,3,12/11/2025,7:00:47 PM
