Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
24_gi,12/13/2025,4:52:24 PM,19.6, ,mg,20,mL,Hg 253.7,12/13/2025,4:54:16 PM,0.025757048,4.283378773,0.001103272,0.379191599,0.386930203,0.379,0.387,4.398710816,0.016679542,0.017019941,ug/L,ug/g,1,12/13/2025,4:53:15 PM,2,12/13/2025,4:53:45 PM,3,12/13/2025,4:54:16 PM
31_gas,12/13/2025,4:55:00 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,4:55:51 PM,0.000787707, , ,0.001698841,0.001682021,0.002,0.002, , , ,ug/L,ug/g,1,12/13/2025,4:55:51 PM,,,,,,
31_gas,12/13/2025,4:56:37 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,4:58:28 PM,0.021728339,3.42542318,0.000744288,0.318284562,0.31513323,0.318,0.315,3.535303742,0.011252326,0.011140917,ug/L,ug/g,1,12/13/2025,4:57:28 PM,2,12/13/2025,4:57:58 PM,3,12/13/2025,4:58:28 PM
QAQC,12/13/2025,4:59:11 PM, , ,g, ,mL,Hg 253.7,12/13/2025,5:01:02 PM,0.06646715,1.83965035,0.001222763,1.01939708, ,1.019, ,1.813428831,0.018486041, ,ug/L,ug/g,1,12/13/2025,5:00:02 PM,2,12/13/2025,5:00:32 PM,3,12/13/2025,5:01:02 PM
Standard blank,12/13/2025,5:01:45 PM, , ,g, ,mL,Hg 253.7,12/13/2025,5:03:35 PM,0.001323828,81.80801512,0.001082997,0.034543968, ,0.035, ,47.39762605,0.016373021, ,ug/L,ug/g,1,12/13/2025,5:02:34 PM,2,12/13/2025,5:03:04 PM,3,12/13/2025,5:03:35 PM
40_heart,12/13/2025,5:04:16 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,5:06:08 PM,0.024254633,5.388392275,0.001306935,0.356477711,0.358269056,0.356,0.358,5.542721807,0.019758568,0.019857857,ug/L,ug/g,1,12/13/2025,5:05:07 PM,2,12/13/2025,5:05:38 PM,3,12/13/2025,5:06:08 PM
6_brain,12/13/2025,5:06:51 PM,20.4, ,mg,20,mL,Hg 253.7,12/13/2025,5:08:42 PM,0.02474805,3.570241325,0.000883565,0.363937311,0.356801285,0.364,0.357,3.670401069,0.013357959,0.013096038,ug/L,ug/g,1,12/13/2025,5:07:42 PM,2,12/13/2025,5:08:12 PM,3,12/13/2025,5:08:42 PM
9_brain,12/13/2025,5:09:26 PM,20.5, ,mg,20,mL,Hg 253.7,12/13/2025,5:11:17 PM,0.029720018,4.029139391,0.001197461,0.439104773,0.428394901,0.439,0.428,4.12282359,0.018103515,0.017661966,ug/L,ug/g,1,12/13/2025,5:10:17 PM,2,12/13/2025,5:10:47 PM,3,12/13/2025,5:11:17 PM
20_brain,12/13/2025,5:12:01 PM,20.5, ,mg,20,mL,Hg 253.7,12/13/2025,5:13:52 PM,0.035102295,2.287834483,0.000803082,0.520475401,0.507780879,0.52,0.508,2.332713838,0.012141202,0.011845075,ug/L,ug/g,1,12/13/2025,5:12:52 PM,2,12/13/2025,5:13:22 PM,3,12/13/2025,5:13:52 PM
23_brain,12/13/2025,5:14:36 PM,20, ,mg,20,mL,Hg 253.7,12/13/2025,5:16:28 PM,0.040270767,2.941397896,0.001184523,0.598613651,0.598613651,0.599,0.599,2.991566195,0.017907924,0.017907924,ug/L,ug/g,1,12/13/2025,5:15:27 PM,2,12/13/2025,5:15:57 PM,3,12/13/2025,5:16:28 PM
